chemcode	name	cas
dea	DIETHYLACETAMIDE	685-91-6
dau	DIETHYLACETYLUREA	---
ns2	"(+-)-4-DIETHYLAMINO-1, 1-DIMETHYLBUT-2-YN-1-YL 2-CYCLOHEXYL-2-HYDROXY-PHENYLACETATE.HCl MONOHYDRATE"	---
deg	DIETHYLENE GLYCOL	111-46-6
diy	DIETHYLFORMAMIDE	617-84-5
dyt	DIETHYLMALEATE	141-05-9
des	DIETHYLSTILBESTROL	56-53-1
deu	"N,N'-DIETHYLTHIOUREA"	105-55-5
dfo	2-(DIFLUOROMETHYL)-dl-ORNITHINE	70052-12-9
dif	"1,2-DIFORMYLHYDRAZINE"	628-36-4
dfl	DIFTALONE	21626-89-1
dre	"DIGLYCIDYL RESORCINOL ETHER, TECHNICAL GRADE"	101-90-6
dhz	"5,6-DIHYDRO-5-AZACYTIDINE"	62488-57-7
dqo	"1,2-DIHYDRO-2-(5-NITRO-2-THIENYL)QUINAZOLIN-4(3H)-ONE"	33389-33-2
ndh	"3,6-DIHYDRO-2-NITROSO-2H-1,2-OXAZINE"	3276-41-3
dhc	"3,4-DIHYDROCOUMARIN"	119-84-6
dhs	DIHYDROSAFROLE	94-58-6
dh2	"3,3'-DIHYDROXYBENZIDINE.2HCl"	1592-36-5
dih	"24R,25-DIHYDROXYVITAMIN D3"	55721-11-4
dnp	DIISONONYL PHTHALATE	68515-48-0
dlv	"(R,R)-DILEVALOL.HCl"	75659-08-4
2md	DIMETHADIONE	695-53-4
dmo	DIMETHOATE	60-51-5
dmx	DIMETHOXANE	828-00-2
mxd	"DIMETHOXANE, COMMERCIAL GRADE"	828-00-2
dms	"2,5-DIMETHOXY-4'-AMINOSTILBENE"	5803-51-0
dxa	"2,4-DIMETHOXYANILINE.HCl"	54150-69-5
mbc	"3,3'-DIMETHOXYBENZIDINE-4,4'-DIISOCYANATE"	91-93-0
3db	"3,3'-DIMETHOXYBENZIDINE.2HCl"	20325-40-0
dxp	"5,7-DIMETHOXYCYCLOPENTENE[c]COUMARIN"	1146-71-0
dxt	"5,7-DIMETHOXYCYCLOPENTENONE[2,3-c]COUMARIN"	1150-37-4
dxc	"5,7-DIMETHOXYCYCLOPENTENONE[3,2-c]COUMARIN"	1150-42-1
dsc	"5,6-DIMETHOXYSTERIGMATOCYSTIN"	65176-75-2
aed	"O,O-DIMETHYL S-2(ACETYLAMINO)ETHYL DITHIOPHOSPHATE, TECHNICAL GRADE"	13265-60-6
dab	"N,N-DIMETHYL-4-AMINOAZOBENZENE"	60-11-7
ndn	"N,N'-DIMETHYL-N,N'-DINITROSOPHTHALAMIDE"	3851-16-9
2mh	DIMETHYL HYDROGEN PHOSPHITE	868-85-9
mmp	DIMETHYL METHYLPHOSPHONATE	756-79-6
dmm	DIMETHYL MORPHOLINOPHOSPHORAMIDATE	597-25-1
dfp	"4,6-DIMETHYL-2-(5-NITRO-2-FURYL)PYRIMIDINE"	59-35-8
dni	"1,2-DIMETHYL-5-NITROIMIDAZOLE"	551-92-8
dmt	DIMETHYL TEREPHTHALATE	120-61-6
dim	DIMETHYLACETAMIDE	127-19-5
lam	"6-DIMETHYLAMINO-4,4-DIPHENYL-3-HEPTANOL ACETATE.HCl"	43033-72-3
dmd	"6-DIMETHYLAMINO-4,4-DIPHENYL-3-HEPTANONE.HCl"	1095-90-5
fvo	"trans-2-[(DIMETHYLAMINO)METHYLIMINO]-5-[2-(5-NITRO-2-FURYL)VINYL]-1,3,4-OXADIAZOLE"	55738-54-0
dax	"4-DIMETHYLAMINO-3,5-XYLENOL"	6120-10-1
4aa	4-DIMETHYLAMINOANTIPYRINE	58-15-1
dme	2-DIMETHYLAMINOETHANOL	108-01-0
dnm	"DIMETHYLAMINOETHYLNITROSOETHYLUREA, NITRITE SALT"	142713-78-8
dal	"2,6-DIMETHYLANILINE"	87-62-7
dmi	"N,N-DIMETHYLANILINE"	121-69-7
cac	DIMETHYLARSINIC ACID	75-60-5
2mb	"5,5-DIMETHYLBARBITURIC ACID"	24448-94-0
daa	"7,12-DIMETHYLBENZ(a)ANTHRACENE"	57-97-6
dmz	"3,3'-DIMETHYLBENZIDINE.2HCl"	612-82-8
dcc	DIMETHYLCARBAMYL CHLORIDE	79-44-7
dda	"DIMETHYLDITHIOCARBAMIC ACID, DIMETHYLAMINE"	598-64-1
ddo	"N,N-DIMETHYLDODECYLAMINE-N-OXIDE"	1643-20-5
dmf	DIMETHYLFORMAMIDE	68-12-2
dmh	"1,1-DIMETHYLHYDRAZINE"	57-14-7
dm2	"1,2-DIMETHYLHYDRAZINE.2HCl"	306-37-6
dht	"2-(2,2-DIMETHYLHYDRAZINO)-4-(5-NITRO-2-FURYL)THIAZOLE"	26049-69-4
dma	DIMETHYLNITRAMINE	4164-28-7
2mt	DIMETHYLTHIOUREA	61805-96-7
dvc	DIMETHYLVINYL CHLORIDE	513-37-1
dtb	"2,4-DINITRO-6-tert-BUTHYLPHENYL METHANESULFONATE"	29110-68-7
dpc	"DINITRO(1-METHYLHEPTYL)PHENYL CROTONATE, COMMERCIAL GRADE (78%)"	6119-92-2
dtp	"2,4-DINITROPHENOL"	51-28-5
dts	"2,4-DINITROPHENOL, SODIUM"	1011-73-0
dnd	"1,4-DINITROSO-2,6-DIMETHYLPIPERAZINE"	55380-34-2
dnc	DINITROSOCAFFEIDINE	145438-97-7
dnh	DINITROSOHOMOPIPERAZINE	55557-00-1
dpt	"N,N-DINITROSOPENTAMETHYLENETETRAMINE"	101-25-7
dpz	DINITROSOPIPERAZINE	140-79-4
6nt	"2,6-DINITROTOLUENE"	606-20-2
4nt	"2,4-DINITROTOLUENE (CONTAINING 0.5% 2,6-DINITROTOLUENE)"	121-14-2
4dn	"2,4-DINITROTOLUENE (CONTAINING 1.0-1.5% 2,6-DINITROTOLUENE)"	121-14-2
dnt	"2,4-DINITROTOLUENE, PRACTICAL GRADE"	121-14-2
tnt	"DINITROTOLUENE, TECHNICAL GRADE (2,4 (77%)- and 2,6 (19%)-)"	25321-14-6
dio	"1,4-DIOXANE"	123-91-1
dot	DIOXATHION	78-34-2
dth	DIPENTAMETHYLENETHIURAM HEXASULFIDE	971-15-3
dna	DIPENTYLNITROSAMINE	13256-06-9
dhm	DIPHENHYDRAMINE.HCl	147-24-0
ppp	DIPHENYL-p-PHENYLENEDIAMINE	74-31-7
dne	DIPHENYLACETONITRILE	86-29-3
dpe	DIPHENYLCARBONATE	102-09-0
dph	"5,5-DIPHENYLHYDANTOIN"	57-41-0
dpo	"N,N-DIPROPYL-4-(4'-[PYRIDYL-1'-OXIDE]AZO)ANILINE"	---
dpg	DIPROPYLENE GLYCOL	25265-71-8
dyn	DIPYRONE	68-89-3
dsr	DISODIUM 5'-RIBONUCLEOTIDE	80702-47-2
dta	"2,5-DITHIOBIUREA"	142-46-1
dit	DITHIOOXAMIDE	79-40-3
dcm	3-O-DODECYLCARBOMETHYLASCORBIC ACID	---
dga	n-DODECYLGUANIDINE ACETATE	2439-10-3
dld	dl-DOPA	63-84-3
dop	DOPAMINE.HCl	62-31-7
dxf	DOXEFAZEPAM	40762-15-0
dxy	DOXYLAMINE SUCCINATE	562-10-7
ady	alpha-ECDYSONE	3604-87-3
eda	EDIFAS A	9004-59-5
edb	EDIFAS B	9004-32-4
edt	"EDTA, TRISODIUM SALT TRIHYDRATE"	150-38-9
nz1	EFONIDIPINE.HCl ETHANOLATE	111011-76-8
ell	ELLAGIC ACID	476-66-4
elm	ELMIRON	37319-17-8
eme	EMETINE.2HCl	316-42-7
emo	EMODIN	518-82-1
eyn	EMULSIFIER YN	55965-13-4
thd	ENDOSULFAN	115-29-7
end	ENDRIN	72-20-8
enf	ENFLURANE	13838-16-9
eno	ENOVID	8015-30-3
ene	ENOVID-E	8015-30-3
eps	EPHEDRINE SULPHATE	134-72-5
epc	EPICHLOROHYDRIN	106-89-8
epi	"(-)-EPIGALLOCATECHIN GALLATE (85% (-)-EPIGALLOCATECHIN GALLATE, 10% (-)-EPIGALLOCATECHIN, 5% (-)-EPICATECHIN GALLATE)"	989-51-5
lep	l-EPINEPHRINE.HCl	55-31-2
pxb	"1,2-EPOXYBUTANE"	106-88-7
sey	"ERYTHORBATE, SODIUM"	6381-77-7
ers	ERYTHROMYCIN STEARATE	643-22-1
esz	ESTAZOLAM	29975-16-4
oes	ESTRADIOL	50-28-2
est	ESTRADIOL MUSTARD	22966-79-6
etg	ESTRAGOLE	140-67-0
ets	ETHINYL ESTRADIOL	57-63-6
eta	ETHIONAMIDE	536-33-4
etn	ETHIONINE	13073-35-3
dle	dl-ETHIONINE	67-21-0
eph	4-ETHOXY-PHENYLUREA	150-69-6
txb	o-ETHOXYBENZAMIDE	938-73-8
exq	ETHOXYQUIN	91-53-2
ela	ETHYL ACRYLATE	140-88-5
etl	ETHYL ALCOHOL	64-17-5
exm	"Z-ETHYL-O,N,N-AZOXYETHANE"	16301-26-1
eam	"Z-ETHYL-O,N,N-AZOXYMETHANE"	57497-29-7
eba	ETHYL BROMOACETATE	105-36-2
slc	S-ETHYL-l-CYSTEINE	2629-59-6
edd	"p,p'-ETHYL-DDD"	72-56-0
efz	N-ETHYL-N-FORMYLHYDRAZINE	74920-78-8
emp	ETHYL METHYLPHENYLGLYCIDATE	77-83-8
nen	N-ETHYL-N'-NITRO-N-NITROSOGUANIDINE	63885-23-4
eln	1-ETHYL-1-NITROSOUREA	759-73-9
ete	ETHYL TELLURAC	20941-65-5
eaa	3-O-ETHYLASCORBIC ACID	86404-04-8
etb	ETHYLBENZENE	100-41-4
ety	ETHYLENE GLYCOL	107-21-1
glf	"ETHYLENE GLYCOL, CYCLIC SULFATE"	1072-53-3
eim	ETHYLENE IMINE	151-56-4
eod	ETHYLENE OXIDE	75-21-8
eth	ETHYLENE THIOUREA	96-45-7
etu	ETHYLENE UREA	120-93-4
dec	"ETHYLENEBISDITHIOCARBAMATE, DISODIUM"	142-59-6
eec	"1-ETHYLENEOXY-3,4-EPOXYCYCLOHEXANE"	106-87-6
2eh	2-ETHYLHEXANOL	104-76-7
dha	DI(2-ETHYLHEXYL)ADIPATE	103-23-1
dhx	DI(2-ETHYLHEXYL)PHTHALATE	117-81-7
etz	ETHYLHYDRAZINE.HCl	18413-14-4
ehu	1-ETHYLNITROSO-3-(2-HYDROXYETHYL)-UREA	96724-44-6
epu	1-ETHYLNITROSO-3-(2-OXOPROPYL)-UREA	110559-84-7
ecy	ETHYLNITROSOCYANAMIDE	38434-77-4
epa	ETHYLPHENYLACETYLUREA	90-49-3
esn	4-ETHYLSULPHONYLNAPHTHALENE-1-SULFONAMIDE	842-00-2
etd	ETHYNODIOL DIACETATE	297-76-7
eto	ETODOLAC	41340-25-4
euc	EUCALYPTOL	470-82-6
egl	EUGENOL	97-53-0
faz	FADROZOLE.HCl	102676-31-3
mob	"FENAMINOSULF, FORMULATED"	140-56-7
fen	FENTHION	55-38-9
fnv	FENVALERATE	51630-58-1
frc	FERRIC CHLORIDE	7705-08-0
fec	FERRIC CITRATE TETRAHYDRATE	2338-05-8
fdd	FERRIC DIMETHYLDITHIOCARBAMATE	14484-64-1
fin	FINASTERIDE	98319-26-7
fcn	FLECAINIDE ACETATE	54143-56-5
flc	FLUCONAZOLE	86386-73-4
flm	FLUOMETURON	2164-17-2
ftf	"N-(2-FLUORENYL)-2,2,2-TRIFLUOROACETAMIDE"	363-17-7
sof	"FLUORIDE, SODIUM"	7681-49-4
fad	4'-FLUORO-4-AMINODIPHENYL	324-93-6
fba	N-4-(4'-FLUOROBIPHENYL)ACETAMIDE	398-32-3
fln	2-FLUOROETHYL-NITROSOUREA	69112-98-7
flu	5-FLUOROURACIL	51-21-8
flx	FLUOXETINE.HCl	59333-67-4
flv	FLUVASTATIN	93957-54-1
for	FORMALDEHYDE	50-00-0
fth	FORMIC ACID 2-[4-(2-FURYL)-2-THIAZOLYL]HYDRAZIDE	31873-81-1
fmh	FORMIC ACID 2-(4-METHYL-2-THIAZOLYL)HYDRAZIDE	32852-21-4
fah	FORMIC ACID 2-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]HYDRAZIDE	3570-75-0
fts	1-FORMYL-3-THIOSEMICARBAZIDE	2302-84-3
fyl	FORMYLHYDRAZINE	624-84-0
ftl	FOSETYL Al	39148-24-8
fum	FUMONISIN B1	116355-83-0
fsc	2-FURALDEHYDE SEMICARBAZONE	2411-74-7
frn	FURAN	110-00-9
ffl	FURFURAL	98-01-1
ffa	FURFURYL ALCOHOL	98-00-0
fur	FUROSEMIDE	54-31-9
fnx	FUSARENON-X	23255-69-8
gla	GALLIC ACID	149-91-7
gdl	GEMCADIOL	35449-36-6
gfb	GEMFIBROZIL	25812-30-0
gtv	GENTIAN VIOLET	548-62-9
gra	"GERANYL ACETATE, FOOD GRADE (71% GERANYL ACETATE, 29% CITRONELLYL ACETATE)"	mixture
sog	"GERMANATE, SODIUM"	12025-19-3
gib	GIBBERELLIC ACID	77-06-5
gp1	Glu-P-1	67730-11-4
gp2	Glu-P-2	67730-10-3
lga	l-GLUTAMIC ACID	56-86-0
gcp	N2-gamma-GLUTAMYL-p-HYDRAZINOBENZOIC ACID	---
age	beta-N-[gamma-L(+)-GLUTAMYL]-4-HYDROXYMETHYLPHENYLHYDRAZINE	2757-90-6
glt	GLUTARALDEHYDE	111-30-8
gln	"GLYCERIN, NATURAL"	56-81-5
glr	"GLYCERIN, SYNTHETIC"	56-81-5
glm	GLYCEROL alpha-MONOCHLOROHYDRIN	96-24-2
gca	GLYCIDALDEHYDE	765-34-4
gly	GLYCIDOL	556-52-5
glc	GLYCINE	56-40-6
gls	GLYCOL SULFITE	3741-38-6
gcr	GLYCYRRHETINIC ACID	471-53-4
gzd	"GLYCYRRHIZINATE, DISODIUM"	71277-79-7
ggb	FD & C GREEN NO. 1	4680-78-8
lgy	FD & C GREEN NO. 2	5141-20-8
fgr	FD & C GREEN NO. 3	2353-45-9
grs	GRISEOFULVIN	126-07-8
ggm	GUAR GUM	9000-30-0
gma	GUM ARABIC	9000-01-5
hcd	HCDD MIXTURE	mixture
htx	HEMATOXYLIN	517-28-2
hep	HEPTACHLOR	76-44-8
hme	HEPTAMETHYLENEIMINE	1121-92-2
hea	HEPTYLAMINE	111-68-2
hex	HEXACHLOROBENZENE	118-74-1
hxb	HEXACHLOROBUTADIENE	87-68-3
bhx	"alpha-1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE"	319-84-6
bhc	"beta-1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE"	319-85-7
lin	"gamma-1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE"	58-89-9
hch	"HEXACHLOROCYCLOHEXANE, TECHNICAL GRADE"	608-73-1
hcc	HEXACHLOROCYCLOPENTADIENE	77-47-4
hce	HEXACHLOROETHANE	67-72-1
hcp	HEXACHLOROPHENE	70-30-4
hxd	"2,4-HEXADIENAL (89% trans,trans-, 11% cis,trans-)"	142-83-6
hmi	"3-(HEXAHYDRO-4,7-METHANOINDAN-5-YL)-1,1-DIMETHYLUREA"	2163-79-3
hxt	HEXAMETHYLENETETRAMINE	100-97-0
hmm	HEXAMETHYLMELAMINE	531-18-0
hmp	HEXAMETHYLPHOSPHORAMIDE	680-31-9
hmf	HEXANAL METHYLFORMYLHYDRAZONE	57590-22-4
hxa	HEXANAMIDE	628-02-4
hxe	"HEXANE, COMMERCIAL GRADE (52% n-HEXANE, 16% 3-METHYLCYCLOPENTANE, 16% METHYLCYCLOPENTANE)"	110-54-3
oht	"1-O-HEXYL-2,3,5-TRIMETHYLHYDROQUINONE"	148081-72-5
nxy	N-HEXYLNITROSOUREA	18774-85-1
hxl	4-HEXYLRESORCINOL	136-77-6
hmh	l-HISTIDINE.HCl	645-35-2
hca	"HUMIC ACIDS, COMMERCIAL GRADE"	1415-93-6
hdz	HYDRAZINE	302-01-2
hzs	HYDRAZINE SULFATE	10034-93-2
haz	2-HYDRAZINO-4-(p-AMINOPHENYL)THIAZOLE	26049-71-8
htz	2-HYDRAZINO-4-(5-NITRO-2-FURYL)THIAZOLE	26049-68-3
hnz	2-HYDRAZINO-4-(p-NITROPHENYL)THIAZOLE	26049-70-7
hpt	2-HYDRAZINO-4-PHENYLTHIAZOLE	34176-52-8
hbz	p-HYDRAZINOBENZOIC ACID	619-67-0
hbh	p-HYDRAZINOBENZOIC ACID.HCl	24589-77-3
hzb	HYDRAZOBENZENE	122-66-7
hcl	HYDROCHLORIC ACID	7647-01-0
hfc	HYDROCHLOROFLUOROCARBON 123	306-83-2
hct	HYDROCHLOROTHIAZIDE	58-93-5
hdc	HYDROCORTISONE	50-23-7
hyp	HYDROGEN PEROXIDE	7722-84-1
hyq	HYDROQUINONE	123-31-9
hqm	HYDROQUINONE MONOBENZYL ETHER	103-16-2
hab	3-HYDROXY-4-ACETYLAMINOBIPHENYL	4463-22-3
haa	N-HYDROXY-2-ACETYLAMINOFLUORENE	53-95-2
ahb	3-HYDROXY-4-AMINOBIPHENYL	4363-03-5
hbp	3-HYDROXY-p-BUTYROPHENETIDIDE	1083-57-4
haq	1-HYDROXYANTHRAQUINONE	129-43-1
hes	1'-HYDROXYESTRAGOLE	51410-44-7
hni	1-(2-HYDROXYETHYL)-3-[(5-NITROFURFURYLIDENE)AMINO]-2-IMIDAZOLIDINONE	5036-03-3
heu	1-(2-HYDROXYETHYL)-NITROSO-3-ETHYLUREA	96724-45-7
hen	1-(2-HYDROXYETHYL)-1-NITROSOUREA	13743-07-2
hnq	4-(2-HYDROXYETHYLAMINO)-2-(5-NITRO-2-THIENYL)QUINAZOLINE	33389-36-5
heh	2-HYDROXYETHYLHYDRAZINE	109-84-2
hxn	1-(3-HYDROXYPROPYL)-1-NITROSOUREA	71752-70-0
hql	8-HYDROXYQUINOLINE	148-24-3
hsa	1'-HYDROXYSAFROLE	5208-87-7
ibf	IBUPROFEN	15687-27-1
i59	ICRF-159	21416-87-5
ici	"(3-((IMINO((2,2,2-TRIFLUOROETHYL)AMINO)METHYL)AMINO)-1H-PYRAZOLE-1-PENTAMIDE)"	84545-30-2
ipd	"3,3'-IMINOBIS-1-PROPANOL DIMETHANESULFONATE(ESTER).HCl"	3458-22-8
sia	"IMINODIACETIC ACID, MONOSODIUM"	32607-00-4
dol	INDOLE	120-72-9
iaa	INDOLE-3-ACETIC ACID	87-51-4
inl	INDOLIDAN	100643-96-7
idm	INDOMETHACIN	53-86-1
iog	IODINATED GLYCEROL	5634-39-9
iod	IODOACETAMIDE	144-48-9
ci3	IODOFORM	75-47-8
ipz	IPAZILIDE FUMARATE	115436-74-3
amq	IQ	76180-96-6
aqh	:IQ.HCl	---
igm	IRSOGLADINE MALEATE	84504-69-8
isd	ISATIDINE	15503-86-3
isb	ISOBUTENE	115-11-7
iph	ISOBUTYL p-HYDROXYBENZOATE	4247-02-3
isn	ISOBUTYL NITRITE	542-56-3
nin	N-ISOBUTYL-N'-NITRO-N-NITROSOGUANIDINE	5461-85-8
iba	ISOBUTYRALDEHYDE	78-84-2
isu	ISOFLURANE	26675-46-7
imt	ISOMALT	64519-82-0
isz	ISOMAZOLE	86315-52-8
iso	ISONIAZID	54-85-3
inm	ISONICOTINAMIDE	1453-82-3
isa	ISONICOTINIC ACID	55-22-1
ptz	ISONICOTINIC ACID VANILLYLIDENEHYDRAZIDE	149-17-7
isp	ISOPHORONE	78-59-1
ipp	ISOPHOSPHAMIDE	3778-73-2
isr	ISOPRENE	78-79-5
ipl	ISOPROPANOL	67-63-0
ipa	p-ISOPROPOXYDIPHENYLAMINE	101-73-5
icc	ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE	101-21-3
imp	1-ISOPROPYL-3-METHYL-s-PYRAZOLYLDIMETHYL CARBAMATE	119-38-0
ipc	ISOPROPYL-N-PHENYL CARBAMATE	122-42-9
isf	ISOSAFROLE	120-58-1
ivm	IVERMECTIN	70288-86-7
jsm	JOSAMYCIN	16846-24-5
kfl	KAEMPFEROL	520-18-3
pb4	KANECHLOR 400	12737-87-0
kep	KEPONE	143-50-0
kpf	KETOPROFEN	22071-15-4
kja	KOJIC ACID	501-30-4
las	LASIOCARPINE	303-34-4
lac	LEAD ACETATE	301-04-2
ldb	"LEAD ACETATE, BASIC"	1335-32-6
ldt	LEAD DIMETHYLDITHIOCARBAMATE	19010-66-3
leu	LEUPEPTIN	24365-47-7
lvb	LEVOBUNOLOL.HCl	27912-14-7
lmn	D-LIMONENE	5989-27-5
lch	LITHOCHOLIC ACID	434-13-9
lbg	LOCUST BEAN GUM	9000-40-2
lfx	LOFEXIDINE.HCl	21498-08-8
lon	LONIDAMINE	50264-69-2
lrn	LORNOXICAM	70374-39-9
lov	LOVASTATIN	75330-75-5
lox	LOXTIDINE	76956-02-0
skf	LUPITIDINE.3HCl	72716-75-7
lus	LUTEOSKYRIN	21884-44-6
lts	LUTESTRAL	8065-91-6
lyn	LYNESTRENOL	52-76-6
mc6	MAGNESIUM CHLORIDE HEXAHYDRATE	7791-18-6
mlx	MALAOXON	1634-78-2
mal	MALATHION	121-75-5
mlz	MALEIC HYDRAZIDE	123-33-1
sma	"MALONALDEHYDE, SODIUM SALT"	24382-04-5
meb	MANGANESE ETHYLENEBISTHIOCARBAMATE	12427-38-2
msm	MANGANESE (II) SULFATE MONOHYDRATE	10034-96-5
mhy	MANIDIPINE.2HCl	89226-75-5
dml	D-MANNITOL	69-65-8
dgl	MANNITOL NITROGEN MUSTARD	576-68-1
mac	MeA-alpha-C ACETATE	117831-29-5
miq	MeIQ	77094-11-2
iqx	MeIQx	77500-04-0
mae	MELAMINE	108-78-1
mlo	MELOXICAM	71125-38-7
lsl	MELPHALAN	148-82-3
mth	dl-MENTHOL	15356-70-4
mer	MER-25	67-98-1
mbt	2-MERCAPTOBENZOTHIAZOLE	149-30-4
mbz	"2-MERCAPTOBENZOTHIAZOLE, ZINC"	155-04-4
mcs	"2-MERCAPTOETHANESULFONATE, SODIUM"	19767-45-4
mcp	6-MERCAPTOPURINE	50-44-2
mcl	MERCURIC CHLORIDE	7487-94-7
mrc	MERCUROUS CHLORIDE	7546-30-7
mla	MERCURYMETHYL CHLORIDE	115-09-3
mst	MESTRANOL	72-33-3
mtp	METEPA	57-39-6
man	METHACRYLONITRILE	126-98-7
mtl	METHAFURYLENE	531-06-6
mti	METHAPHENILENE	493-78-7
mpl	METHAPYRILENE.HCl	135-23-9
mdt	METHIDATHION	950-37-8
mmz	METHIMAZOLE	60-56-0
dlm	dl-METHIONINE	59-51-8
apg	METHOTREXATE	59-05-2
2ab	2-METHOXY-4-AMINOAZOBENZENE	80830-39-3
mtb	3-METHOXY-4-AMINOAZOBENZENE	3544-23-8
maf	2-METHOXY-3-AMINODIBENZOFURAN	5834-17-3
mxt	3-METHOXYCATECHOL	934-00-9
mxc	METHOXYCHLOR	72-43-5
4mp	4-METHOXYPHENOL	150-76-5
mpa	METHOXYPHENYLACETIC ACID	1701-77-5
mop	8-METHOXYPSORALEN	298-81-7
mze	"Z-METHYL-O,N,N-AZOXYETHANE"	57497-34-4
mbr	METHYL BROMIDE	74-83-9
mbe	METHYL tert-BUTYL ETHER	1634-04-4
mmt	METHYL CARBAMATE	598-55-0
mcb	METHYL CARBAZATE	6294-89-9
mco	2-METHYL-4-CHLOROPHENOXYACETIC ACID	94-74-6
mcf	METHYL CLOFENAPATE	21340-68-1
pmn	"1-METHYL-1,4-DIHYDRO-7-[2-(5-NITROFURYL)VINYL]-4-OXO-1,8-NAPHTHYRIDINE-3-CARBOXYLATE, POTASSIUM"	29676-95-7
4da	3'-METHYL-4-DIMETHYLAMINOAZOBENZENE	55-80-1
mnn	"N-METHYL-N,4-DINITROSOANILINE"	99-80-9
mnf	N-METHYL-N-FORMYLHYDRAZINE	758-17-8
mhd	METHYL HESPERIDIN	11013-97-1
mlh	METHYL LINOLEATE HYDROPEROXIDE	27323-65-5
nml	"METHYL LINOLEATE, NATIVE"	112-63-0
mym	METHYL METHACRYLATE	80-62-6
mms	METHYL METHANESULFONATE	66-27-3
nnn	N-METHYL-N'-NITRO-N-NITROSOGUANIDINE	70-25-7
mnq	2-METHYL-1-NITROANTHRAQUINONE	129-15-7
mni	4-METHYL-1-[(5-NITROFURFURYLIDENE)AMINO]-2-IMIDAZOLIDINONE	21638-36-8
mqu	4-(4-N-METHYL-N-NITROSAMINOSTYRYL)QUINOLINE	16699-10-8
mnb	N-METHYL-N-NITROSOBENZAMIDE	63412-06-6
nmo	N-(N-METHYL-N-NITROSOCARBAMOYL)-l-ORNITHINE	63642-17-1
rmp	R(-)-2-METHYL-N-NITROSOPIPERIDINE	14026-03-0
smp	S(+)-2-METHYL-N-NITROSOPIPERIDINE	36702-44-0
moo	METHYL 12-OXO-trans-10-OCTADECENOATE	21308-79-2
mpr	METHYL PARATHION	298-00-0
mpn	N-METHYL-2-PYRROLIDONE	872-50-4
mad	(N-6)-METHYLADENINE	443-72-1
nms	(N-6)-METHYLADENOSINE	1867-73-8
mba	alpha-METHYLBENZYL ALCOHOL	98-85-1
3mm	3-METHYLBUTANAL METHYLFORMYLHYDRAZONE	57590-21-3
4mc	4-METHYLCATECHOL	452-86-8
mc3	3-METHYLCHOLANTHRENE	56-49-5
mds	alpha-METHYLDOPA SESQUIHYDRATE	41372-08-1
ibp	"N-METHYLDOPAMINE,O,O'-DIISOBUTYROYL ESTER.HCl"	75011-65-3
mcm	"4,4'-METHYLENE-BIS(2-CHLOROANILINE)"	101-14-4
mch	"4,4'-METHYLENE-BIS(2-CHLOROANILINE).2HCl"	64049-29-2
mbm	"4,4'-METHYLENE-BIS(2-METHYLANILINE)"	838-88-0
myc	METHYLENE CHLORIDE	75-09-2
mmd	"4,4'-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE"	101-61-1
mmb	"2,2'-METHYLENEBIS(4-METHYL-6-TERT-BUTYLPHENOL)"	119-47-1
mdd	"4,4'-METHYLENEDIANILINE.2HCl"	13552-44-8
mex	METHYLETHYLKETOXIME	96-29-7
mee	METHYLEUGENOL	93-15-2
mge	METHYLGUANIDINE	471-29-4
7mg	7-METHYLGUANINE	578-76-7
meh	METHYLHYDRAZINE	60-34-4
mhs	METHYLHYDRAZINE SULFATE	302-15-8
mhq	METHYLHYDROQUINONE	95-71-6
mei	2-METHYLIMIDAZOLE	693-98-1
1mn	1-METHYLNAPHTHALENE	90-12-0
2mn	2-METHYLNAPHTHALENE	91-57-6
nnm	METHYLNITRAMINE	598-57-2
mnd	"METHYLNITROSAMINO-N,N-DIMETHYLETHYLAMINE"	23834-30-2
nnl	4-(METHYLNITROSAMINO)-1-(3-PYRIDYL)-1-BUTANOL	76014-81-8
nnk	4-(METHYLNITROSAMINO)-1-(3-PYRIDYL)-1-(BUTANONE)	64091-91-4
mln	(N-6)-(METHYLNITROSO)ADENINE	---
mna	(N-6)-(METHYLNITROSO)ADENOSINE	21928-82-5
mnc	METHYLNITROSOCYANAMIDE	33868-17-6
maa	N-METHYLOLACRYLAMIDE	924-42-5
mph	METHYLPHENIDATE.HCl	298-59-9
6mq	6-METHYLQUINOLINE	91-62-3
8mq	8-METHYLQUINOLINE	611-32-5
pms	p-METHYLSTYRENE	622-97-9
mtu	METHYLTHIOURACIL	56-04-2
mip	METIAPINE	5800-19-1
mtm	"METIRAM, TECHNICAL GRADE (WITH 2% ADDED ETHYLENETHIOUREA)"	9006-42-2
met	METRONIDAZOLE	443-48-1
zec	MEXACARBATE	315-18-4
mke	MICHLER'S KETONE	90-94-8
mrx	MIREX	2385-85-5
prx	"MIREX, PHOTO-"	39801-14-4
msp	MISOPROSTOL	59122-46-2
mmc	MITOMYCIN-C	50-07-7
mot	MOLYBDENUM TRIOXIDE	1313-27-5
mah	MONOACETYL HYDRAZINE	1068-57-1
mca	MONOCHLOROACETIC ACID	79-11-8
